cap_inc,lab_inc,financial_assets,nonfinanc_assets,weights
0,28800,200,0,720.641625
1500,0,32566,72972.8,2735.088703
0,13428,651,67752,1443.8566295
10,0,200000,188561,1253.360854
0,0,8200,0,2215.477002
0,33792,400000,120000,1260.364372
59,42780,8440,66000,2317.5821895
0,31932,4000,140000,5280.1070395
20000,0,1439000,972549,26.0054305
4800,56736,43500,240101,1420.2883085
0,44928,16460,129616.2,569.3921995
26697.199999999997,29626.8,87087,1205000,158.663784
20700,21000,717245,2225000,16.3471625
0,20508,1000,83940,1407.7018495
300,90996,372000,482451,26.719747
23000,54600,734000,3824035,11.45406
97483,0,6579000,8086910,18.1895885
3600,0,160994,1042000,17.006936
0,20460,0,0,1715.0750755
0,0,20000,30000,1952.6509695
25980,60619.99999999999,38000,570455,5860.1386585
0,15600,15000,0,4301.8388375
0,0,81600,430304,673.833575
4940,0,214000,1250000,90.35703
0,0,8330,616663,3688.849208
0,21984,2340,60000,2778.2369275
2880,42696,45700,993101,5061.1092275
67757,166433,811940,2340609,34.828329
150,0,25000,37000,2086.7560475
0,0,38773,200000,745.489059
74500,0,10230000,2200000,12.453687
21022,0,184959,1196749,10.3515465
0,57852,7976,250000,1708.2272345
94470,0,2500,4673971,13.6947445
0,15240,1064,0,43.544078
150,44196,138800,99000,1607.9318525
0,13800,400,0,2828.9378945
8398.8,38797.2,34000,170500,1480.796324
250,0,142000,190304,951.2349285
739,104940,419011,892231,1388.4868615
0,0,375700,291095.5,1641.009813
15693.9,36619.1,69558,1656919,17.2624585
0,38400,150,300000,1004.2741005
3205,0,300148,310000,41.205156
0,38400,19000,1000,1409.0618185
0,29232,12500,123202,1401.576039
0,22872,51839,178792,669.5757945
0,0,10267,138410,1786.224035
11000,0,4719534,2309000,16.8437685
5400,48600,45000,1480000,653.1297485
264,0,100136,12000,26.0054305
0,0,26598,223771,1865.1614965
240000,0,2153034,10150000,6.998634
4200,0,30000,180000,1629.1063825
0,25032,9000,35000,3119.89914
3600,0,2169,229591,2381.236439
0,0,0,73821,1952.6509695
46400,33600,357534,1964000,141.167784
0,0,50009,235000,1566.4461485
0,42936,51966,148375,93.750195
2000,0,1000001,1766010,21.4512805
0,0,1000,78132,2640.327547
6065,0,402000,550000,11.072668
79000,105000,19488513,5795280,5.3370155
87140,118160,100000,1593333,16.355382
0,14400,2000,122000,2073.2264375
0,58800,30192,260000,865.4895265
15,40800,30000,81000,497.7812355
35600,0,346000,900600,84.460726
4950,0,78000,217541,973.8585565
100,24000,71500,200000,1553.7299575
50000,0,1650000,0,35.714846
7042,0,190000,997000,1509.172128
8,0,10422,90100,1042.411475
200,21000,32650,150000,703.554882
0,12000,1300,1500,1704.26923
0,19200,5000,0,577.942742
5481,75600,11800,468500,2979.244488
0,0,30000,455000,90.35703
25200,58799.99999999999,66598,600697,18.815006
4800,0,24000,230000,524.3842825
0,9180,1000,0,1101.21856
0,14400,400,0,3481.409574
10,0,300,60000,5903.343171
810,85200,166000,387627,1276.087107
5166,0,7312512,5854712,32.189431
0,11112,201500,42000,807.9351115
0,0,10000,223081,961.0315785
100,0,50000,180231,1199.7317955
2612,0,300000,257728.6,105.277607
400,51936,192000,370000,1069.9624395
8750,0,200000,631000,11.848021
0,27600,1160,50000,2166.683695
0,113340,55000,253950,2116.7153825
2932,0,81537,2000,3317.4865715
18520.8,29215.199999999997,194218,1114667,28.485113
21140,11460,1075700,398000,476.400065
9000,109800,228233,859744,20.4918445
0,19596,2000,100000,1672.4942415
40,70140,29272,170000,639.673843
0,0,150,183304,1872.9930995
0,0,416,0,3526.502606
0,14400,50000,60000,1026.3484935
283,0,308876,1479325,21.4512805
26561,0,1762790,1004000,105.9643265
200,0,1100057,204000,54.7910515
0,0,2500,350506,812.94862
10800,0,933000,462355,26.0054305
7500,46300,81982,313300,1416.531509
19964,0,323000,1813502,24.558154
10000,0,4646718,1400000,14.540169
3800,0,9500,240000,578.9809065
16350,0,41061,621061,60.105335
0,0,350000,1039040,5336.451813
171860,154240,3247400,4312000.0075,42.585774
10410,30690,50800,194287,2560.1046945
0,10200,4960,136211,3398.088695
2118,4942,126361,554758,22.1072145
0,0,8000,190000,2412.63454
0,22344,1,128000,1061.568015
0,0,730,91182,1872.9930995
0,42768,924,230252,558.787323
16500,40000,1600000,1278000,34.9147275
2800,68988,320254,210000,1074.32802
0,9372,400,100000,1988.7635885
0,26880,5000,180304,705.4449895
0,11124,0,210354,746.8096135
6,0,50000,74040,6086.196659
3600,8400,875,0,843.6066155
0,0,2,0,1190.1757015
500,69600,128200,123000,680.7764765
33750,77000,201000,1117658,2023.107683
0,5976,32,0,3001.920488
27870,0,762000,2403542,13.772381
84000,112000,3240000,15220000,16.4505605
476,0,9000,360607,891.175358
0,0,56000,356301,1305.8134955
0,25992,6000,54091,1879.199016
18000,0,480000,762054,4.136925
38500,0,1162000,3250000,28.3493925
0,0,845,180000,3139.3505465
0,39600,4000,0,1480.796324
0,31200,36600,105272,556.030286
47331.5,123973.5,430000,585000,1435.4466845
2000,0,2500,73524.32,1437.014995
0,59796,31000,120000,1420.140003
31800,0,10600,1065000,369.0112375
0,30000,900,46200,1102.3519655
0,12000,90,46670,3.6063905
7500,17500,21000,410000,854.9449355
26400,0,10000,291618,22.6476025
2000,0,24029,141838.66,1001.5521355
6000,39020,500,136320,1310.188823
7800,0,717100,2420000.015,34.4300055
60,0,70370,265508,885.5958425
279,0,12000,88813,991.63805
8,24240,28000,84932,9005.6156845
0,0,5520,165000,3189.273715
0,0,60000,350000,1562.3749905
3840,91392,9000,271200,1921.8010555
0,0,800,150253,2104.468413
29600,26600,156400,1626000,316.6143165
0,15600,3000,0,1506.6209415
0,0,480708,1129902,11.574327
16,13404,30000,207441,1093.372888
26520,62880,165000,444658,3.171281
6300,16080,50340,135152,869.5570865
16200,81996,30000,420000,647.511291
9900,4200,17717,337553,1806.447457
415282.4,908701.6,1493628,34125000,14.109395
7980,39180,31500,392000,4167.8765535
0,0,7150,120202,1253.360854
60000,0,510000,4900000,9.3413655
1000,0,56000,11966,2175.884545
300,15600,98000,120100,3014.525072
0,23892,1000,154327,1728.428372
45834,19600,1131735,2065461,31.7939425
0,0,1000,76000,1763.6756635
400,31764,68941,270000,674.7907875
0,0,12070,120202,2504.8988475
36000,14000,1590514,2209999.99,17.739335
0,16800,1200,20000,3269.1133975
139778.8,45217.2,1190430,10000000,29.1078815
0,0,1200,97000,4867.616499
0,16800,1052,0,2338.971883
51200,128400,859775,2927678,14.152905
24200,64596,355000,941000,27.6257945
0,0,30000,102478,21.4512805
0,4200,8000,0,957.0111295
0,0,0,83840,3421.255203
51493,37692,1939759,2663180,21.7577725
49696,0,6242629,1850000,15.705962
200,0,50000,100000,515.5822725
0,0,50,0,2640.327547
0,54000,62300,175000,1171.4491375
3647.4,8510.6,256515,541504,1409.6633665
120,18000,2000,480810,912.753083
78698.8,48997.2,8137945,2854013,21.1158285
88,14304,145159,180000,208.446141
0,27168,23419,60101,840.132775
0,0,0,115985,1796.151255
4003,9720,540000,1600000,4.7593995
0,16800,25000,57850,2392.224716
0,13200,0,0,1554.4676735
0,0,13430,350000,1562.3749905
3000,32244,5976,398371,410.6116285
0,0,7638,427285,34.6552915
4500,10500,77200,110000,1763.1214395
0,15000,3500,145000,803.012282
0,12480,6031,22500,5557.7460775
0,0,600,15025,597.379988
7512,30568,1418,0,2325.894168
0,0,2425,72145,1365.0505885
222000,302000,1630000,5220000,28.294032
0,26400,100748,132223,774.7470795
25400,0,88000,2872000,73.09752
0,54600,1440,207446,1882.585578
0,0,308500,366617,16.865237
11293000,147000,398220000,33000000,12.4743255
0,0,18000,80000,390.449678
0,0,4028,116953,585.874851
0,0,12000,180000,2804.7075235
500,0,70000,105207,656.245326
2890.7999999999997,56029.2,3263,0,35.68159
0,0,1400,32000,7641.765722
0,14400,5036,178000,1077.254041
0,0,19645,115238,1097.494212
7899.6,7232.4,1200,567034,1327.124281
250,0,228046,180000,46.286672
33600,0,20000,1090000,8.8709355
48000,10800,16708,2995000,15.5564795
66,0,2280,480810,1090.972481
0,0,30000,373498.52,1613.6543965
7512.6,9528.4,180000,265800,772.566427
0,9432,20000,285179,1016.9039265
20,38400,54900,170000,972.6207815
0,0,520,200000,1306.893786
26400,0,88819,833000,21.4512805
1664.1999999999998,81353.8,5000,1230000,1491.1193615
3900,0,76000,814000,312.0157275
0,0,116000,248922,1733.658447
0,15600,90,50000,2578.0685175
0,10884,42700,197000,2366.7052675
10000,97920,258094,600000,20.3140115
618,26628,1900,162000,2382.3990095
0,0,14722,54508,3407.5157285
1900,11280,2000,50000,1337.850816
0,0,1199,210654,458.5694125
21600,50400,414000,93036975,10.0853625
40,0,8000,90166.5,1403.593054
0,0,800,180304,2259.3051415
0,0,8075,79000,2251.9273015
40000,0,523000,650000,1973.6081485
183805.1,108147.9,5622781,16513004,9.210373
27581.4,64006.6,1589000,1573379,33.33067
0,0,38075,440000,1744.1360025
50,69840,883587,873000,70.8612365
13922,0,813500,36945396,8.190071
14400,26400,670068,1083027,14.50464
0,0,300,60000,3553.71406
9900,0,114704,612712,37.623971
500,74496,317000,120202,947.9915125
0,0,1000,80000,2640.327547
0,19200,13000,156000,1175.542101
54600,127400,120000,860437,21.4512805
